NormalizedName,DisplayName,ChannelID,Source
2Fri,2Fri,tv.yousee.2Fri.dk,epg_ripper_DK1
2News,2News,tv.yousee.2News.dk,epg_ripper_DK1
2Sport,2Sport,tv.yousee.2Sport.dk,epg_ripper_DK1
3Puls,3Puls,tv.yousee.3Puls.dk,epg_ripper_DK1
3Sat,3Sat,tv.yousee.3Sat.dk,epg_ripper_DK1
3Sp2,3Sp2,tv.yousee.3Sp2.dk,epg_ripper_DK1
3Sport,3Sport,tv.yousee.3Sport.dk,epg_ripper_DK1
4K prg2,4K prg2,tv.yousee.4K.prg2.dk,epg_ripper_DK1
6eren,6eren HD (D) (T).dk,6eren HD (D) (T).dk,Globe_denmark1
6eren Denmark,"6eren Denmark (DK,DA).dk","6eren Denmark (DK,DA).dk",Globe_denmark2
AbuDTV,AbuDTV,tv.yousee.AbuDTV.dk,epg_ripper_DK1
Action,Action,tv.yousee.Action.dk,epg_ripper_DK1
Adult Channel UK,"Adult Channel UK (GB,EN).dk","Adult Channel UK (GB,EN).dk",Globe_denmark2
Al Eng,Al Eng,tv.yousee.Al.Eng.dk,epg_ripper_DK1
Al Jaz,Al Jaz,tv.yousee.Al.Jaz.dk,epg_ripper_DK1
Al Jazeera English,Al Jazeera English (T).dk,Al Jazeera English (T).dk,Globe_denmark1
AlAoul,AlAoul,tv.yousee.AlAoul.dk,epg_ripper_DK1
AlMasr,AlMasr,tv.yousee.AlMasr.dk,epg_ripper_DK1
Animal,Animal,tv.yousee.Animal.dk,epg_ripper_DK1
Animal Planet Denmark,"Animal Planet Denmark (DK,DA).dk","Animal Planet Denmark (DK,DA).dk",Globe_denmark2
Animal Planet Norway,"Animal Planet Norway (NO,NO).dk","Animal Planet Norway (NO,NO).dk",Globe_denmark2
ARD,ARD,tv.yousee.ARD.dk,epg_ripper_DK1
Arte,Arte,tv.yousee.Arte.dk,epg_ripper_DK1
ATV,ATV,tv.yousee.ATV.dk,epg_ripper_DK1
Baby TV English UK,"Baby TV English UK (GB,EN).dk","Baby TV English UK (GB,EN).dk",Globe_denmark2
BBC 1 UK,"BBC 1 UK (GB,EN).dk","BBC 1 UK (GB,EN).dk",Globe_denmark2
BBC B,BBC B,tv.yousee.BBC.B.dk,epg_ripper_DK1
BBC Earth Nordics English,"BBC Earth Nordics English (IS,EN).dk","BBC Earth Nordics English (IS,EN).dk",Globe_denmark2
BBC News,BBC News (T).dk,BBC News (T).dk,Globe_denmark1
BBC News UK,"BBC News UK (GB,EN).dk","BBC News UK (GB,EN).dk",Globe_denmark2
BBC Nordic,BBC Nordic HD (S/D/F) (T).dk,BBC Nordic HD (S/D/F) (T).dk,Globe_denmark1
BBC Nordic Denmark,"BBC Nordic Denmark (DK,DA).dk","BBC Nordic Denmark (DK,DA).dk",Globe_denmark2
BBC Nordic English,"BBC Nordic English (IS,EN).dk","BBC Nordic English (IS,EN).dk",Globe_denmark2
BBC Nordic Norway,"BBC Nordic Norway (NO,NO).dk","BBC Nordic Norway (NO,NO).dk",Globe_denmark2
BBC W,BBC W,tv.yousee.BBC.W.dk,epg_ripper_DK1
BBCPLUS_BK,BBCPLUS_BK,tv.yousee.BBCPLUS_BK.dk,epg_ripper_DK1
Blockbuster BK,Blockbuster BK,tv.yousee.Blockbuster.BK.dk,epg_ripper_DK1
Bloom,Bloom,tv.yousee.Bloom.dk,epg_ripper_DK1
Bloomberg,Bloomberg (T).dk,Bloomberg (T).dk,Globe_denmark1
Bloomberg TV,"Bloomberg TV (US,EN).dk","Bloomberg TV (US,EN).dk",Globe_denmark2
Blue H,Blue H,tv.yousee.Blue.H.dk,epg_ripper_DK1
Blue Hustler UK,"Blue Hustler UK (GB,EN).dk","Blue Hustler UK (GB,EN).dk",Globe_denmark2
Boomrg,Boomrg,tv.yousee.Boomrg.dk,epg_ripper_DK1
Bornho,Bornho,tv.yousee.Bornho.dk,epg_ripper_DK1
Canal 9 Denmark,"Canal 9 Denmark (DK,DA).dk","Canal 9 Denmark (DK,DA).dk",Globe_denmark2
CANAL9,CANAL9 HD (D) (T).dk,CANAL9 HD (D) (T).dk,Globe_denmark1
Cartoo,Cartoo,tv.yousee.Cartoo.dk,epg_ripper_DK1
Cartoon Network,Cartoon Network (T).dk,Cartoon Network (T).dk,Globe_denmark1
Cartoon Network Denmark,"Cartoon Network Denmark (DK,DA).dk","Cartoon Network Denmark (DK,DA).dk",Globe_denmark2
Cartoon Network Nordics English,"Cartoon Network Nordics English (IS,EN).dk","Cartoon Network Nordics English (IS,EN).dk",Globe_denmark2
Cartoon Network Norway,"Cartoon Network Norway (NO,NO).dk","Cartoon Network Norway (NO,NO).dk",Globe_denmark2
Cartoonito Nordic Denmark,"Cartoonito Nordic Denmark (DK,DA).dk","Cartoonito Nordic Denmark (DK,DA).dk",Globe_denmark2
Cartoonito Nordic English,"Cartoonito Nordic English (IS,EN).dk","Cartoonito Nordic English (IS,EN).dk",Globe_denmark2
Cartoonito Nordic Norway,"Cartoonito Nordic Norway (NO,NO).dk","Cartoonito Nordic Norway (NO,NO).dk",Globe_denmark2
