m3u_name,m3u_tvg_id,m3u_tvg_name,matched_epg_channel_id,epg_display_names,match_strategy,is_favourite
-= Sweden =-,,,,,no match,
N1 Info & Updates SE,,,,,no match,
FLYING OVER SWEDEN ULTRA HD SE [Only On 4K Devices],,,,,no match,
SVT1 Skåne SE,,,svt1.se,SVT1 HD SE [-2H],combined relaxed match,
SVT1 HD SE,,,svt1.se,SVT1 HD SE [-2H],combined relaxed match,
SVT1 FHD SE,,,svt1.se,SVT1 HD SE [-2H],combined relaxed match,
SVT1 HD SE [-2H],,,svt1.se,SVT1 HD SE [-2H],name norm match,
SVT2 SE,,,svt2.se,SVT2 SE,combined relaxed match,
SVT2 HD SE,,,svt2.se,SVT2 SE,combined relaxed match,
SVT2 FHD SE,,,svt2.se,SVT2 SE,combined relaxed match,
SVT Barn SE,,,,,no match,
SVT Barn FHD SE,,,,,no match,
SVT24/B HD SE,,,svt24.se,SVT Barn FHD SE,name norm match,
SVT Kunskapskanalen SE,,,kunskapskanalen.se,SVT Kunskapskanalen HD SE,combined relaxed match,
SVT Kunskapskanalen HD SE,,,kunskapskanalen.se,SVT Kunskapskanalen HD SE,combined relaxed match,
SVT Kunskapskanalen FHD SE,,,kunskapskanalen.se,SVT Kunskapskanalen HD SE,combined relaxed match,
TV3 SE,,,tv3.se,TV3 SE,combined relaxed match,
TV3 HD SE,,,tv3.se,TV3 SE,combined relaxed match,
TV3 FHD SE,,,tv3.se,TV3 SE,combined relaxed match,
TV4 SE,,,tv4.se,TV4 HD NO,combined relaxed match,
TV4 HD SE,,,tv4.se,TV4 HD NO,combined relaxed match,
TV4 FHD SE,,,tv4.se,TV4 HD NO,combined relaxed match,
TV4 Fakta SE,,,tv4fakta.se,TV4 Fakta SE,combined relaxed match,
TV4 Fakta HD SE,,,tv4fakta.se,TV4 Fakta SE,combined relaxed match,
TV4 Film SE,,,tv4film.se,TV4 Film SE,combined relaxed match,
TV4 Film HD SE,,,tv4film.se,TV4 Film SE,combined relaxed match,
TV4 Guld SE,,,tv4guld.se,TV4 Guld SE,combined relaxed match,
TV4 Guld HD SE,,,tv4guld.se,TV4 Guld SE,combined relaxed match,
Kanal 5 SE,,,kanal5.se,Kanal 5 SE,combined relaxed match,
Kanal 5 HD SE,,,kanal5.se,Kanal 5 SE,combined relaxed match,
Kanal 5 FHD SE,,,kanal5.se,Kanal 5 SE,combined relaxed match,
TV6 SE,,,tv6.se,TV6 SE,combined relaxed match,
TV6 HD SE,,,tv6.se,TV6 SE,combined relaxed match,
TV6 FHD SE,,,tv6.se,TV6 SE,combined relaxed match,
Sjuan SE,,,sjuan.se,Sjuan SE,combined relaxed match,
Sjuan HD SE,,,sjuan.se,Sjuan SE,combined relaxed match,
Sjuan FHD SE,,,sjuan.se,Sjuan SE,combined relaxed match,
TV8 SE,,,tv8.se,TV8 HD SE,combined relaxed match,
TV8 HD SE,,,tv8.se,TV8 HD SE,combined relaxed match,
TV8 FHD SE,,,tv8.se,TV8 HD SE,combined relaxed match,
Kanal 9 SE,,,kanal9.se,Kanal 9 SE,combined relaxed match,
Kanal 9 HD SE,,,kanal9.se,Kanal 9 SE,combined relaxed match,
Kanal 9 FHD SE,,,kanal9.se,Kanal 9 SE,combined relaxed match,
TV10 SE,,,tv10.se,TV10 SE,combined relaxed match,
TV10 HD SE,,,tv10.se,TV10 SE,combined relaxed match,
TV10 FHD SE,,,tv10.se,TV10 SE,combined relaxed match,
Kanal 11 SE,,,kanal11.se,Kanal 11 SE,combined relaxed match,
Kanal 11 HD SE,,,kanal11.se,Kanal 11 SE,combined relaxed match,
Kanal 11 FHD SE,,,kanal11.se,Kanal 11 SE,combined relaxed match,
TV12 SE,,,tv12.se,TV12 SE,combined relaxed match,
TV12 HD SE,,,tv12.se,TV12 SE,combined relaxed match,
TV12 FHD SE,,,tv12.se,TV12 SE,combined relaxed match,
N1 Play Box Set FHD SE,,,n1playboxsetfhdse.ad,N1 Play Box Set FHD SE,name norm match,
N1 Play Documentary FHD SE,,,n1playdocumentaryfhdse.se,N1 Play Documentary FHD SE,name norm match,
N1 Play Comedy FHD SE,,,n1playcomedyfhdse.ad,N1 Play Comedy FHD SE,name norm match,
N1 Play Comedy UHD SE [Only On 4K Devices],,,,,no match,
N1 Play Astrid Lindgren FHD SE,,,,,no match,
N1 Play Family Guy FHD SE,,,,,no match,
N1 Play Friends FHD SE,,,,,no match,
N1 Play Two and a Half Men FHD SE,,,,,no match,
N1 Play How I Met Your Mother FHD SE,,,,,no match,
N1 Play The Big Bang Theory FHD SE,,,,,no match,
N1 Play Rick and Morty FHD SE,,,,,no match,
N1 Play Ridiculousness FHD SE,,,,,no match,
N1 Play Die Hard FHD SE,,,n1playdiehard&lethalweaponfhdse.se,N1 Play Die Hard FHD SE,name norm match,
N1 Play The Simpsons FHD SE,,,,,no match,
N1 Play The Office FHD SE,,,,,no match,
N1 Play Hobbit & Lord Of The Rings FHD SE,,,,,no match,
N1 Play Harry Potter FHD SE,,,,,no match,
N1 Play James Bond FHD SE,,,,,no match,
N1 Play Planet of the Apes FHD SE,,,,,no match,
N1 Play Jönssonligan FHD SE,,,,,no match,
N1 Play Johan Falk FHD SE,,,,,no match,
N1 Play Marvel Cinematic Universe FHD SE,,,,,no match,
N1 Play Marvel FHD SE,,,n1playmarvelfhdse.se,N1 Play Marvel FHD SE,name norm match,
N1 Play DC Universe FHD SE,,,n1playdcuniversefhdse.se,N1 Play DC Universe FHD SE,name norm match,
N1 Play Fast & Furious FHD SE,,,n1playfast&furiousfhdse.se,N1 Play Fast & Furious FHD SE,name norm match,
N1 Play Pirates of the Caribbean FHD SE,,,n1playpiratesofthecaribbeanfhdse.se,N1 Play Pirates of the Caribbean FHD SE,name norm match,
N1 Play Premiere FHD SE,,,n1playpremierefhdse.se,N1 Play Premiere FHD SE,name norm match,
N1 Play Action FHD SE,,,n1playactionfhdse.se,N1 Play Action FHD SE,name norm match,
N1 Play Horror FHD SE,,,n1playhorrorfhdse.se,N1 Play Horror FHD SE,name norm match,
N1 Play Crime FHD SE,,,,,no match,
N1 Play Family FHD SE,,,n1playfamilyfhdse.se,N1 Play Family FHD SE,name norm match,
N1 Play Romance FHD SE,,,,,no match,
N1 Paramount Movies FHD SE,,,,,no match,
N1 Paramount Movies 2 FHD SE,,,,,no match,
N1 Play Indie Film FHD SE,,,n1playindiefilmfhdse.se,N1 Play Indie Film FHD SE,name norm match,
N1 Play Star Wars FHD SE,,,n1playstarwarsfhdse.se,N1 Play Star Wars FHD SE,name norm match,
N1 Play Star Trek Original Serie FHD SE,,,,,no match,
N1 Play Svensk Film FHD SE,,,n1playswedishfhdse.se,N1 Play Svensk Film FHD SE,name norm match,
N1 Play Stand Up FHD SE,,,n1playstandupfhdse.se,N1 Play Stand Up FHD SE,name norm match,
N1 Play Beck FHD SE,,,,,no match,
N1 Play Wallander FHD SE,,,n1playwallanderfhdse.se,N1 Play Wallander FHD FI,name norm match,
N1 Play Christmas FHD SE,,,,,no match,
N1 Play Christmas Animated FHD SE,,,,,no match,
N1 Play Disney Jul FHD SE,,,n1playdisneyjulfhdse.se,N1 Play Disney Jul FHD SE,name norm match,
N1 Play South Park FHD SE,,,,,no match,
N1 Play 1990s FHD SE,,,,,no match,
N1 Play 1980s FHD SE,,,,,no match,
N1 Play War FHD SE,,,,,no match,
MTV Aitio HD SE [Multi-Sub],,,,,no match,
TV4 Hits HD SE [Multi-Sub],,,tv4hits.se,Hits HD FI [Multi-Sub],name norm match,
TV4 Hits FHD SE,,,tv4hits.se,Hits HD FI [Multi-Sub],name norm match,
TV4 Stars HD SE [Multi-Sub],,,tv4stars.se,TV4 Stars FHD SE,name norm match,
TV4 Stars FHD SE,,,tv4stars.se,TV4 Stars FHD SE,name norm match,
Sky ShowTime 1 HD SE [Multi-Sub],,,skyshowtime1.se,Sky ShowTime 1 FHD NO [Multi-Sub],name norm match,
Sky ShowTime 1 FHD SE,,,skyshowtime1.se,Sky ShowTime 1 FHD NO [Multi-Sub],name norm match,
Sky ShowTime 2 HD SE [Multi-Sub],,,skyshowtime2.se,Sky ShowTime 2 FHD NO [Multi-Sub],name norm match,
Sky ShowTime 2 FHD SE,,,skyshowtime2.se,Sky ShowTime 2 FHD NO [Multi-Sub],name norm match,
SF-Kanalen SE,,,sfkanalen.se,SF-Kanalen FHD SE,combined relaxed match,
SF-Kanalen FHD SE,,,sfkanalen.se,SF-Kanalen FHD SE,combined relaxed match,
E! Entertainment HD SE,,,E!,E! Entertainment HD SE,name norm match,
GodareTV HD SE,,,godare.se,GodareTV FHD SE,combined relaxed match,
GodareTV FHD SE,,,godare.se,GodareTV FHD SE,combined relaxed match,
Food Network FHD SE,,,foodnetwork.us,Food Network East US,name norm match,
Fashion TV SE,,,fashiontv.fr,Fashion TV UHD SE  [Only On 4K Devices],name norm match,
Fashion TV UHD SE  [Only On 4K Devices],,,fashiontv.fr,Fashion TV UHD SE  [Only On 4K Devices],name norm match,
TLC HD SE,,,tlc.se,TLC HD SE,combined relaxed match,
TLC FHD SE,,,tlc.se,TLC HD SE,combined relaxed match,
BBC Nordic HD SE,,,bbcnordic.se,BBC Nordic FHD SE,combined relaxed match,
BBC Nordic FHD SE,,,bbcnordic.se,BBC Nordic FHD SE,combined relaxed match,
Nautical Channel HD SE,,,nauticalchannel.us,Nautical Channel HD SE,name norm match,
Discovery Science HD SE,,,discoveryscience.se,Discovery Science HD SE,combined relaxed match,
Discovery Science FHD SE,,,discoveryscience.se,Discovery Science HD SE,combined relaxed match,
Discovery Channel SE,,,discoverychannel.se,Discovery Channel SE,combined relaxed match,
Discovery Channel HD SE,,,discoverychannel.se,Discovery Channel SE,combined relaxed match,
Discovery Channel FHD SE,,,discoverychannel.se,Discovery Channel SE,combined relaxed match,
Investigation Discovery HD SE,,,investigationdiscovery.se,Investigation Discovery FHD FI,name norm match,
Investigation Discovery SE [Multi-Sub],,,investigationdiscovery.se,Investigation Discovery FHD FI,name norm match,
National Geographic HD SE,,,natgeo.se,National Geographic FHD SE,combined relaxed match,
