"EpgName","EpgId","M3U_Name","M3U_TvgId","MatchScore"
"cnn.uk","cnn.uk",,,"1"
"svt1.se","svt1.se",,,"1"
"euronews.uk","euronews.uk",,,"1"
"svt2.se","svt2.se",,,"1"
"tv2.dk","tv2.dk",,,"1"
"history.dk","history.dk",,,"1"
"tlc.de","tlc.de",,,"1"
"rtl.de","rtl.de",,,"1"
"see.dk","see.dk",,,"1"
"nicktoons.uk","nicktoons.uk",,,"1"
"nick jr.","nick jr.",,,"1"
"nickelodeon.uk","nickelodeon.uk",,,"1"
"sportlive.dk","sportlive.dk",,,"0,5"
"tv2echo.dk","tv2echo.dk",,,"0,5"
"skyshowtime2.se","skyshowtime2.se",,,"0,5"
"skyshowtime1.se","skyshowtime1.se",,,"0,5"
"tv2fri.dk","tv2fri.dk",,,"0,5"
"viasatfilmpremiere.dk","viasatfilmpremiere.dk",,,"0,5"
"viasathits.dk","viasathits.dk",,,"0,5"
"viasatfamily.dk","viasatfamily.dk",,,"0,5"
"via.za","via.za",,,"0,5"
"viasatultra.dk","viasatultra.dk",,,"0,5"
"viasatseries.dk","viasatseries.dk",,,"0,5"
"viasataction.dk","viasataction.dk",,,"0,5"
"tv3puls.dk","tv3puls.dk",,,"0,5"
"tv2sportx.dk","tv2sportx.dk",,,"0,5"
"tv2sport.dk","tv2sport.dk",,,"0,5"
"tv3cataluny.es","tv3cataluny.es",,,"0,5"
"tv3sport.dk","tv3sport.dk",,,"0,5"
"tv3max.dk","tv3max.dk",,,"0,5"
"discoverychannel.uk","discoverychannel.uk",,,"0,5"
"boomerang.no","boomerang.no",,,"0,5"
"cartoonnetwork.ru","cartoonnetwork.ru",,,"0,5"
"dr1.dk","dr1.dk",,,"0,5"
"drramasjang.dk","drramasjang.dk",,,"0,5"
"disneychannel.us","disneychannel.us",,,"0,5"
"bbcearthenglish.qa","bbcearthenglish.qa",,,"0,5"
"bbc1.uk","bbc1.uk",,,"0,5"
"animalplanet.ru","animalplanet.ru",,,"0,5"
"canal9.dk","canal9.dk",,,"0,5"
"bbcnordic.dk","bbcnordic.dk",,,"0,5"
"bbcnews.uk","bbcnews.uk",,,"0,5"
"kanal4.dk","kanal4.dk",,,"0,5"
"investigationdiscovery.dk","investigationdiscovery.dk",,,"0,5"
"nationalgeographic.dk","nationalgeographic.dk",,,"0,5"
"6eren.dk","6eren.dk",,,"0,5"
"natgeowild.dk","natgeowild.dk",,,"0,5"
"sfkanalen.dk","sfkanalen.dk",,,"0,5"
"eurosport1.dk","eurosport1.dk",,,"0,5"
"kanal5.dk","kanal5.dk",,,"0,5"
"historychannel.uk","historychannel.uk",,,"0,5"
"eurosport2.dk","eurosport2.dk",,,"0,5"
"tv2charlie","tv2charlie",,,"0"
"tv2news","tv2news",,,"0"
