Favourite,Status,Matched Name,Matched ID
6eren Denmark,NOT FOUND,,
Animal Planet Denmark,SIMILAR,Animal Planet HD,Animal Planet HD
BBC 1 UK,SIMILAR,CBBC UK,cbbc.uk
BBC Earth Nordics English,SIMILAR,BBC Nordic HD SE,bbcnordic.se
BBC News UK,EXACT,BBC News UK,bbcnews.uk
BBC Nordic Denmark,SIMILAR,BBC Nordic HD SE,bbcnordic.se
Canal 9 Denmark,SIMILAR,Canal 9 DK,canal9.dk
Cartoon Network Denmark,SIMILAR,Cartoon Network FHD,cartoonnetwork.uk
Cartoonito Nordic Denmark,SIMILAR,Cartoonito HD DK,cartoonito.dk
CNN International,EXACT,CNN International,cnn.uk
Discovery Channel Denmark,SIMILAR,Discovery Channel es,discoverychannel.es
Disney Channel Denmark,SIMILAR,Disney Channel es,disneychannel.es
DR Ramasjang Denmark,SIMILAR,DR Ramasjang HD DK,drramasjang.dk
DR1 Denmark,SIMILAR,DR 1 DK,dr1.dk
DR2 Denmark,SIMILAR,DR 2 DK,dr2.dk
Euronews English France,SIMILAR,France 24 English FHD,france24english.fr
Eurosport 1 Denmark,SIMILAR,Eurosport 1 HD,eurosport1.es
Eurosport 2 Denmark,SIMILAR,Eurosport 2 HD,eurosport2.es
History 2 Channel Denmark,SIMILAR,History Channel Sl,historychannel.si
History Channel Denmark,SIMILAR,History Channel Sl,historychannel.si
Investigation Discovery Denmark,SIMILAR,Investigation Discovery DK,investigationdiscovery.dk
Kanal 4 Denmark,SIMILAR,Kanal 4 DK,kanal4.dk
Kanal 5 Denmark,SIMILAR,Kanal 5 DK,kanal5.dk
Moonbug,NOT FOUND,,
National Geographic Denmark,SIMILAR,National Geographic DK,nationalgeographic.dk
National Geographic Wild Nordics,SIMILAR,National Geographic Wild UK,natgeowild.uk
Nick Jr. Denmark,SIMILAR,Nick Jr es,nickjr.es
Nickelodeon,EXACT,Nickelodeon,nickelodeon.uk
Nicktoons Denmark,SIMILAR,Nicktoons UK,nicktoons.uk
RTL Germany,SIMILAR,ART Cinema,ARTCinema
See Denmark,NOT FOUND,,
SF-kanalen Denmark,SIMILAR,SF-Kanalen DK,sfkanalen.dk
SkyShowtime 1,SIMILAR,Sky ShowTime 1 FHD SE,skyshowtime1.se
SkyShowtime 2,SIMILAR,Sky ShowTime 2 FHD SE,skyshowtime2.se
Sport Live,SIMILAR,Sport Live DK,sportlive.dk
SVT1 Sweden,SIMILAR,SVT1 Skåne SE,svt1.se
SVT2 Sweden,SIMILAR,SVT2 SE,svt2.se
TLC Denmark,SIMILAR,TLC DK,tlc.dk
TV 2 Charlie Denmark,SIMILAR,TV2 Charlie DK,tv2charlie.dk
TV 2 Denmark,NOT FOUND,,
TV 2 Echo Denmark,SIMILAR,TV2 Echo DK,tv2zulu.dk
TV 2 Fri Denmark,SIMILAR,TV2 Fri DK,tv2fri.dk
TV 2 News Denmark,SIMILAR,TV2 News DK,tv2news.dk
TV 2 Sport Denmark,SIMILAR,TV2 Sport DK,tv2sport.dk
TV 2 Sport X Denmark,SIMILAR,TV2 Sport X DK,tv2sportx.dk
TV3 Denmark,SIMILAR,TV3 DK,tv3.dk
TV3 Max Denmark,SIMILAR,TV3 Max DK,tv3max.dk
TV3 Puls Denmark,SIMILAR,TV3 Puls DK,tv3puls.dk
TV3 Sport Denmark,SIMILAR,TV3 Sport DK,tv3sport.dk
TV3+ Denmark,SIMILAR,TV3+ DK,tv3plus.dk
V Film Action Denmark,SIMILAR,V Film Action HD SE,viasatfilmaction.se
V Film Family Denmark,SIMILAR,V Film Family SE,viasatfilmfamily.se
V Film Hits Denmark,SIMILAR,V Film Hits HD SE,viasatfilmhits.se
V Film Premiere Denmark,SIMILAR,V Film Premiere HD SE,viasatfilmpremiere.se
V Series Denmark,SIMILAR,V Series HD SE,viasatseries.se
V Sport Ultra Denmark,SIMILAR,V Sport Extra HD SE,vsportextra.se
Viaplay Sport News,SIMILAR,Viaplay Sport SE,viaplaysport.se
Viasat Explore Denmark,SIMILAR,Viasat Explore MK,viasatexplore.hr
Viasat History Denmark,SIMILAR,Viasat History RO,viasathistory.ro
Viasat Nature Nordic Denmark,SIMILAR,Viasat Nature HD DK,viasatnature.dk
