Favourite,IPTV Match,Similarity,Status
﻿Column1;Column2;Column3;Column4;Column5;,,0.25,NOT FOUND
6eren Denmark;6eren Denmark (DK,,0.47,NOT FOUND
Animal Planet Denmark;Animal Planet Denmark (DK,,0.55,NOT FOUND
BBC 1 UK;BBC 1 UK (GB,,0.45,NOT FOUND
BBC Earth Nordics English;BBC Earth Nordics English (IS,,0.42,NOT FOUND
BBC News UK;BBC News UK (GB,BBC News HD UK,0.59,MATCH
BBC Nordic Denmark;BBC Nordic Denmark (DK,,0.53,NOT FOUND
Canal 9 Denmark;Canal 9 Denmark (DK,,0.50,NOT FOUND
Cartoon Network Denmark;Cartoon Network Denmark (DK,Cartoon Network HD DK,0.56,MATCH
Cartoonito Nordic Denmark;Cartoonito Nordic Denmark (DK,,0.42,NOT FOUND
CNN International;CNN International (US,CNN International HD SE,0.61,MATCH
Discovery Channel Denmark;Discovery Channel Denmark (DK,Discovery Channel HD CHL,0.58,MATCH
Disney Channel Denmark;Disney Channel Denmark (DK,Disney Channel HD CHL,0.57,MATCH
DR Ramasjang Denmark;DR Ramasjang Denmark (DK,,0.54,NOT FOUND
DR1 Denmark;DR1 Denmark (DK,,0.43,NOT FOUND
DR2 Denmark;DR2 Denmark (DK,,0.43,NOT FOUND
Euronews English France;Euronews English France (FR,,0.39,NOT FOUND
Eurosport 1 Denmark;Eurosport 1 Denmark (DK,,0.53,NOT FOUND
Eurosport 2 Denmark;Eurosport 2 Denmark (DK,,0.53,NOT FOUND
History 2 Channel Denmark;History 2 Channel Denmark (DK,,0.55,NOT FOUND
History Channel Denmark;History Channel Denmark (DK,History Channel HD CHL,0.58,MATCH
Investigation Discovery Denmark;Investigation Discovery Denmark (DK,Investigation Discovery HD DK,0.58,MATCH
Kanal 4 Denmark;Kanal 4 Denmark (DK,,0.50,NOT FOUND
Kanal 5 Denmark;Kanal 5 Denmark (DK,,0.50,NOT FOUND
Moonbug;Moonbug (T).dk;Moonbug (T).dk;Globe_denmark1;k;,,0.27,NOT FOUND
National Geographic Denmark;National Geographic Denmark (DK,National Geographic Wild FHD DK,0.58,MATCH
National Geographic Wild,National Geographic Wild DK,0.94,MATCH
Nick Jr. Denmark;Nick Jr. Denmark (DK,,0.43,NOT FOUND
Nickelodeon;Nickelodeon (Nordic) (T).dk;Nickelodeon (Nordic) (T).dk;Globe_denmark1;k;,,0.32,NOT FOUND
Nicktoons Denmark;Nicktoons Denmark (DK,,0.52,NOT FOUND
RTL Germany;RTL Germany (DE,,0.51,NOT FOUND
See Denmark;See Denmark (DK,,0.44,NOT FOUND
SF-kanalen Denmark;SF-kanalen Denmark (DK,,0.48,NOT FOUND
SkyShowtime 1;SkyShowtime 1 HD (T).dk;SkyShowtime 1 HD (T).dk;Globe_denmark1;k;,,0.41,NOT FOUND
SkyShowtime 2;SkyShowtime 2 HD (T).dk;SkyShowtime 2 HD (T).dk;Globe_denmark1;k;,,0.41,NOT FOUND
Sport Live;Sport Live (D) (T).dk;Sport Live (D) (T).dk;Globe_denmark1;k;,,0.44,NOT FOUND
SVT1 Sweden;SVT1 Sweden (SE,SVT1 Västerbotten SE,0.55,MATCH
SVT2 Sweden;SVT2 Sweden (SE,,0.51,NOT FOUND
TLC Denmark;TLC Denmark (DK,,0.46,NOT FOUND
TV 2 Charlie Denmark;TV 2 Charlie Denmark (DK,,0.52,NOT FOUND
TV 2 Denmark;TV 2 Denmark (DK,,0.47,NOT FOUND
TV 2 Echo,TV2 Echo DK,0.80,MATCH
TV 2 Fri,TV2 Fri DK,0.78,MATCH
TV 2 News,TV2 News DK,0.80,MATCH
TV 2 Sport,TV2 Sport DK,0.82,MATCH
TV 2 Sport X,TV2 Sport X DK,0.85,MATCH
TV3 Denmark;TV3 Denmark (DK,,0.49,NOT FOUND
TV3 Max,TV3 Max DK,0.82,MATCH
TV3 Puls,TV3 Puls DK,0.84,MATCH
TV3 Sport,TV3 Sport DK,0.86,MATCH
TV3+,TV3+ DK,0.73,MATCH
V Film Action Denmark;V Film Action Denmark (DK,,0.55,NOT FOUND
V Film Family Denmark;V Film Family Denmark (DK,,0.55,NOT FOUND
V Film Hits Denmark;V Film Hits Denmark (DK,,0.53,NOT FOUND
V Film Premiere Denmark;V Film Premiere HD Denmark (DK,V Film Premiere HD DK,0.56,MATCH
V Series Denmark;V Series Denmark (DK,,0.51,NOT FOUND
V Sport Ultra Denmark;V Sport Ultra HD Denmark (DK,V Sport Ultra 4K SE [Multi-Audio],0.55,MATCH
Viaplay Sport News;Viaplay Sport News HD (D) (T).dk;Viaplay Sport News HD (D) (T).dk;Globe_denmark1;k;,,0.32,NOT FOUND
Viasat Explore Denmark;Viasat Explore Denmark (DK,,0.52,NOT FOUND
Viasat History Denmark;Viasat History Denmark (DK,Viasat History HD DK,0.55,MATCH
Viasat Nature Nordic Denmark;Viasat Nature Nordic Denmark (DK,,0.46,NOT FOUND
